,Longitude,Latitude,geometry,index_right,pointid,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Exists?
63,49.5167,-14.3667,POINT (49.51669999999999 -14.36669999999984),6896,475,229,250,200,1818,329,48,68,907,182,907,200,107,69,2024,301,147,154,250,207,1
64,49.58333,-13.083333,POINT (49.58333 -13.08333299999989),7232,131,257,269,238,1444,289,27,81,803,107,803,107,93,72,1308,315,186,129,269,238,1
65,49.6167,-14.6333,POINT (49.6167 -14.63330000000022),6809,563,221,245,190,1985,348,60,64,966,217,966,256,105,67,2178,297,141,156,245,197,1
66,49.833333,-13.25,POINT (49.833333 -13.25000000000007),7207,163,255,270,234,1395,256,38,62,665,152,665,162,85,71,1439,309,190,119,270,241,1
67,49.866667,-13.491667,POINT (49.866667 -13.4916669999997),7175,198,253,269,232,1445,257,41,59,673,169,673,178,86,71,1497,309,188,121,269,238,1
68,50.15,-14.25,POINT (50.15 -14.24999999999992),6932,453,247,267,223,1785,262,79,41,697,240,697,361,82,63,1731,310,180,130,267,238,1
98,50.15,-14.25,POINT (50.15 -14.24999999999992),6932,453,247,267,223,1785,262,79,41,697,240,697,361,82,63,1731,310,180,130,267,238,1
71,47.92131,-13.91252,POINT (47.92131 -13.91252000000011),7037,294,261,270,244,1895,481,13,101,1181,47,778,47,91,72,1116,315,189,126,269,244,1
72,48.1667,-13.3,POINT (48.16669999999999 -13.29999999999989),7193,149,266,277,247,2050,450,30,88,1192,105,1151,105,73,67,1237,314,206,108,276,247,1
73,48.20639,-15.05322,POINT (48.20639 -15.05322000000011),6628,714,258,272,233,1629,434,4,114,1107,12,844,12,122,70,1620,339,165,174,270,233,1
77,48.655066,-13.7212,POINT (48.655066 -13.72119999999997),7096,250,234,247,212,1752,404,15,99,1086,49,1055,51,110,70,1468,304,149,155,247,213,1
78,48.76167,-14.04222,POINT (48.76167000000001 -14.04222),6994,356,200,218,173,1472,320,11,100,901,38,901,47,130,71,1870,287,104,183,218,174,1
